Category,Title,Link
Veidai,Tragiška baleto artisto žūtis kare sukrėtė kolegą Nerijų Jušką: man yra gėda (8)   36,https://www.delfi.lt/veidai/zmones/tragiska-baleto-artisto-zutis-kare-sukrete-kolega-neriju-juska-man-yra-geda-120053571
Politika,Plungės vicemerui – klausimai dėl antrų pareigų: būdamas komandiruotėje dirbo ir kitame darbe,https://www.delfi.lt//news/daily/politics/plunges-vicemerui-klausimai-del-antru-pareigu-budamas-komandiruoteje-dirbo-ir-kitame-darbe-120052824
Verslas,Daug diskusijų keliantis aliejus – nebe pigiausias (1),https://www.delfi.lt/verslas/bloomberg/daug-diskusiju-keliantis-aliejus-nebe-pigiausias-120053598
Lietuvoje,"Lietuvoje kalintis ukrainietis bijo, kad bus išsiųstas į frontą: sugadins man visą gyvenimą (35)   105",https://www.delfi.lt//news/daily/lithuania/lietuvoje-kalintis-ukrainietis-bijo-kad-bus-issiustas-i-fronta-sugadins-man-visa-gyvenima-120052823
Sveikata,Holivude pamėgto lieknėjimo kaina – siaubingi išvaizdos pokyčiai: ekspertai tai praminė „Ozempic“ veidu“ (4),https://www.delfi.lt/sveikata/zinoti-sveika/holivude-pamegto-lieknejimo-kaina-siaubingi-isvaizdos-pokyciai-ekspertai-tai-pramine-ozempic-veidu-120052838
Video,Trečiasis SAUGU forumas: įtakingiausiųjų Lietuvoje žmonių nuomonės ir svarbiausios idėjos mūsų saugumui,https://www.delfi.lt/video/transliacijos/treciasis-saugu-forumas-itakingiausiuju-lietuvoje-zmoniu-nuomones-ir-svarbiausios-idejos-musu-saugumui-120053505
Video,Iš esmės. Kuo baigtųsi Izraelio įsiveržimas į Libaną? (1),https://www.delfi.lt/video/laidos/is-esmes/is-esmes-kuo-baigtusi-izraelio-isiverzimas-i-libana-120053583
Video,LFF taurės finale – „Bangos“ triumfas 11 m baudinių serijoje (rungtynių santrauka) (2),https://www.delfi.lt/video/sportas/lff-taures-finale-bangos-triumfas-11-m-baudiniu-serijoje-rungtyniu-santrauka-120053592
Video,Izraelio aviacija smogė hučių taikiniams Jemene (1),https://www.delfi.lt/video/uzsienis/izraelio-aviacija-smoge-huciu-taikiniams-jemene-120053538
Video,"Delfi diena. Neišlaikius valstybinės kalbos egzamino, Rusijos piliečių Latvijoje laukia deportacija (6)",https://www.delfi.lt/video/laidos/delfi-diena/delfi-diena-neislaikius-valstybines-kalbos-egzamino-rusijos-pilieciu-latvijoje-laukia-deportacija-120053518
Video,Krepšinio zonoje – apie intriguojantį Eurolygos startą ir prikirptas vilkų uodegas,https://www.delfi.lt/video/laidos/krepsinio-zona/krepsinio-zonoje-apie-intriguojanti-eurolygos-starta-ir-prikirptas-vilku-uodegas-120053482
Video,Į TKS atvyko erdvėlaivis su astronautais iš Rusijos ir JAV (2),https://www.delfi.lt/video/mokslas-ir-gamta/i-tks-atvyko-erdvelaivis-su-astronautais-is-rusijos-ir-jav-120053499
Video,"Pas Editą. Danas – pirmasis lietuvis, aplankęs visą pasaulį",https://www.delfi.lt/video/laidos/pas-edita/pas-edita-danas-pirmasis-lietuvis-aplankes-visa-pasauli-120053026
Video,Konstruktorius tyrėjams įvardijo povandeninio laivo „Titan“ tragiškos baigties priežastis,https://www.delfi.lt/video/mokslas-ir-gamta/konstruktorius-tyrejams-ivardijo-povandeninio-laivo-titan-tragiskos-baigties-priezastis-120053172
Video,"Savaitės kriminalai. Vilniuje pagrobtas pirmokas ir paauglių gauja, niokojanti Sporto rūmus (2)",https://www.delfi.lt/video/laidos/savaites-kriminalai/savaites-kriminalai-vilniuje-pagrobtas-pirmokas-ir-paaugliu-gauja-niokojanti-sporto-rumus-120053089
